x_exp,Cp_exp
-2.3763287217178255, 0.4253275953582374
-2.146554114425709, 0.4603441916000599
-1.8862875594466062, 0.5019413655223264
-1.3069080559158377, 0.5085682534547644
-1.1189976941922462, 0.4025592191710867
-0.7492235912955758, -0.26891005502159815
-0.611081567949272, -0.5944315374496207
-0.48828865830811363, -0.8337116226044297
-0.3729377431906613, -1.0640465121298457
-0.2239428111639521, -1.1770771301238636
0.2587015420089349, -0.8663346511357213
0.3981226581640005, -0.7257549720711804
0.6168475284623147, -0.6108159448056221
0.8419678628044389, -0.5699082092158452
2.9294473267041363, -0.46612280147915697
3.1545676610462605, -0.4186653411799328
3.3796879953883847, -0.38104391213340594
3.604808329730509, -0.33790538906978607
3.829928664072633, -0.29649444090040666
4.055048998414757, -0.26244757926178175
4.2801693327568815, -0.2187736672044387
4.505289667099006, -0.1807283056089799
4.73041000144113, -0.1572996606302377
5.179597615959488, -0.06390315320397977
5.3573001190828355, -0.06504027721759309
5.569494883989049, -0.05816328330082099
5.794615218331171, -0.04467880886347153
6.019735552673295, -0.038168986831329965
